Roaster,Name,Roast Profile,Flavour Notes,Origin / Location,Varietal / Species,Process,Elevation,Price,Product Link
7000 Steps,Assam Kelelo Microlot,Medium Roast,Fruity with hints of wild honey,"Assam, Northeast India",100% Arabica,Natural Sun Dried,900 - 1200 meters above sea level,"INR 999 - INR 2,100",https://www.7000steps.com/products/assam-highlands-micro-lot-nl
7000 Steps,Assam Speciality Arabica Coffee - 250g,Medium Roast,"Citrus, mandarin, brown sugar, roasted nuts, dark chocolate, cocoa; clean finish with a hint of stone fruit","Dima Hasao, Assam",100% Arabica,,"529 - 2,158 meters",INR 899,https://www.7000steps.com/products/assam-speciality-arabica-coffee-250g
7000 Steps,Meghalaya JK Microlot,Medium Roast,Wild sweet lemon with a hint of cocoa,"Meghalaya, Northeast India",100% Arabica,Natural Sun Dried,700 - 800 meters above sea level,"INR 999 - INR 2,700",https://www.7000steps.com/products/meghalaya-microlot-1kg
7000 Steps,Meghalaya Single Origin Robusta Coffee - 250g,Medium Roast / Dark Roast,"Mild citrus, roasted nuts, cereal, dark chocolate aroma","Aguragre, Meghalaya",100% Single-Origin Robusta,"Natural Sun-Dried, Hand-Picked",,INR 799,https://www.7000steps.com/products/single-origin-robusta-meghalaya-250g
7000 Steps,Mizoram Arabica Green Beans 1Kg,,,"Mizoram, Northeast India",Arabica,,,INR 920,https://www.7000steps.com/products/mizoram-arabica-green-beans-1kg
7000 Steps,Moka Pot Coffee Combo,,"Toasted nuts, 85% dark chocolate; smooth dark-chocolate finish",Northeast India,100% Robusta coffee included,,,"INR 1,099",https://www.7000steps.com/products/moka-pot-coffee-combo
7000 Steps,Northeast Adventures - 250g,Dark Roast / Medium Roast,Fruity lime hints with slightly nutty and chocolate hints,Multi Origin from Northeast India,"50% Arabica, 50% Robusta",Natural,800 - 1400 meters above sea level,INR 559,https://www.7000steps.com/products/adventure-blend-250gm
7000 Steps,Northeast Cold Brew - Premium Cold Brew Coffee Bags (5 Sachets | 250g ),Medium Roast,"Gentle fruitiness like berries, subtle tamarind tang, cocoa aftertaste","Assam 20%, Tripura 40%, Tura Meghalaya 40%",100% Arabica blend,,,INR 499,https://www.7000steps.com/products/7000seps-cold-brew
7000 Steps,Northeast Fusion - 250g,Dark Roast / Medium Roast,Fruity lime with slightly nutty and chocolate hints,Multi Origin from Northeast India,"80% Arabica, 20% Robusta",Natural,800 - 1400 meters above sea level,INR 559,https://www.7000steps.com/products/earthy-tropical-250gm
7000 Steps,Northeast Peak - 250g,Dark Roast / Medium Roast,"Sweet, honey-like with citrus (lime) undertones","Multi-Origin from Northeast India (Assam, Meghalaya, and Nagaland)",100% Arabica,Natural Sun Dried,800 - 1300 meters above sea level,INR 599,https://www.7000steps.com/products/blue-sunrise-250gm
